Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"SW1","SW_Push","SKQG-1155865",100.330000,-57.785000,0.000000,bottom
"MX1","MX-NoLED","MXOnly-1U-Hotswap",65.532000,-50.927000,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-Hotswap",84.582000,-50.927000,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-Hotswap",103.632000,-50.927000,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-Hotswap",122.682000,-50.927000,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-Hotswap",141.732000,-50.927000,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-Hotswap",160.782000,-50.927000,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-Hotswap",179.832000,-50.927000,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-Hotswap",198.882000,-50.927000,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-Hotswap",217.932000,-50.927000,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-Hotswap",236.982000,-50.927000,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-Hotswap",70.231000,-69.977000,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-Hotswap",89.281000,-69.977000,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-Hotswap",108.331000,-69.977000,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-Hotswap",127.381000,-69.977000,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-Hotswap",146.431000,-69.977000,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-Hotswap",165.481000,-69.977000,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-Hotswap",184.531000,-69.977000,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-Hotswap",203.581000,-69.977000,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-Hotswap",222.631000,-69.977000,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-Hotswap",241.681000,-69.977000,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-Hotswap",75.057000,-89.027000,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-Hotswap",94.107000,-89.027000,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-Hotswap",113.157000,-89.027000,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-Hotswap",132.207000,-89.027000,0.000000,top
"MX25","MX-NoLED","MXOnly-2U-Hotswap-ReversedStabilizers",160.782000,-89.027000,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-Hotswap",189.357000,-89.027000,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-Hotswap",208.407000,-89.027000,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-Hotswap",227.457000,-89.027000,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-Hotswap",246.507000,-89.027000,0.000000,top
